filepath,folder,filename,label
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203093819_9_00_99_UAUBDADB_0.000_219_2776-784-3062-935-2815-815-3098-953_20-15-20-15_73-73.png,Black tip,21-GQ-P600-0002_6_20211203093819_9_00_99_UAUBDADB_0.000_219_2776-784-3062-935-2815-815-3098-953_20-15-20-15_73-73.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203093831_10_00_99_UAUBDADB_0.000_219_2279-1754-2561-1916-2307-1779-2602-1939_20-16-20-16_103-103.png,Black tip,21-GQ-P600-0002_6_20211203093831_10_00_99_UAUBDADB_0.000_219_2279-1754-2561-1916-2307-1779-2602-1939_20-16-20-16_103-103.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203093831_10_00_99_UAUBDADB_0.000_93_1924-908-2171-1066-1966-939-2211-1090_20-15-20-15_111-111.png,Black tip,21-GQ-P600-0002_6_20211203093831_10_00_99_UAUBDADB_0.000_93_1924-908-2171-1066-1966-939-2211-1090_20-15-20-15_111-111.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203093842_11_00_99_UAUBDADB_0.000_132_2906-2682-3182-2889-2955-2705-3223-2904_20-19-20-19_59-59.png,Black tip,21-GQ-P600-0002_6_20211203093842_11_00_99_UAUBDADB_0.000_132_2906-2682-3182-2889-2955-2705-3223-2904_20-19-20-19_59-59.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203093842_11_00_99_UAUBDADB_0.000_60_1832-2428-2128-2588-1882-2453-2169-2612_20-15-20-15_90-90.png,Black tip,21-GQ-P600-0002_6_20211203093842_11_00_99_UAUBDADB_0.000_60_1832-2428-2128-2588-1882-2453-2169-2612_20-15-20-15_90-90.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203093854_12_00_99_UAUBDADB_231.063_59_3238-1524-3473-1747-3277-1544-3506-1765_20-20-20-20_45-45.png,Black tip,21-GQ-P600-0002_6_20211203093854_12_00_99_UAUBDADB_231.063_59_3238-1524-3473-1747-3277-1544-3506-1765_20-20-20-20_45-45.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_108_3274-2778-3551-2974-3315-2795-3598-2992_20-19-20-19_61-61.png,Black tip,21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_108_3274-2778-3551-2974-3315-2795-3598-2992_20-19-20-19_61-61.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_110_4180-2456-4343-2704-4225-2474-4381-2724_15-20-15-20_12-12.png,Black tip,21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_110_4180-2456-4343-2704-4225-2474-4381-2724_15-20-15-20_12-12.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_113_3790-365-4070-532-3831-384-4109-553_20-16-20-16_82-82.png,Black tip,21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_113_3790-365-4070-532-3831-384-4109-553_20-16-20-16_82-82.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_114_4725-2777-4988-2934-4719-2780-4993-2938_20-15-20-15_80-80.png,Black tip,21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_114_4725-2777-4988-2934-4719-2780-4993-2938_20-15-20-15_80-80.png,black_tip
E:\Sample Data Cropped\Black tip\21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_116_2865-3146-3154-3298-2915-3168-3203-3320_20-15-20-15_75-75.png,Black tip,21-GQ-P600-0002_6_20211203152131_0_00_99_UAUBDADB_0.000_116_2865-3146-3154-3298-2915-3168-3203-3320_20-15-20-15_75-75.png,black_tip
